#wvl [um]      Flux [erg/s/cm]
8.083140878    15849.746         
8.076612438    16059.7705        
8.070094535    15029.1718        
8.063587144    17880.473         
8.057090239    15234.55          
8.050603795    15374.4767        
8.044127787    14753.4769        
8.037662189    15225.6222        
8.031206976    15566.5354        
8.024762123    16626.8356        
8.018327606    15319.0146        
8.011903399    14826.5438        
8.005489478    17752.0476        
7.999085819    16677.1961        
7.992692396    16750.877         
7.986309184    16106.3684        
7.979936161    15672.5371        
7.9735733      16724.1333        
7.967220578    15771.3347        
7.960877971    15098.9482        
7.954545455    14990.9845        
7.948223004    15637.6697        
7.941910597    16367.306         
7.935608208    15330.5134        
7.929315813    18565.6927        
7.92303339     15724.1724        
7.916760914    15669.7167        
7.910498361    15360.4358        
7.904245709    16391.0893        
7.898002934    14814.8653        
7.891770011    14772.1907        
7.885546919    15139.0691        
7.879333633    15424.2646        
7.873130132    15238.9229        
7.86693639     15521.1967        
7.860752386    14903.5257        
7.854578097    15318.8573        
7.848413499    18745.8781        
7.84225857     17795.6562        
7.836113288    15456.3159        
7.829977629    17328.1145        
7.82385157     17766.1421        
7.81773509     17056.8214        
7.811628166    15176.6497        
7.805530776    14896.9019        
7.799442897    17116.0205        
7.793364507    16723.6523        
7.787295583    16290.0267        
7.781236105    15971.8524        
7.775186049    15985.7738        
7.769145394    15071.7258        
7.763114118    14942.0166        
7.757092199    15567.8351        
7.751079615    14922.6093        
7.745076344    15457.8887        
7.739082366    14978.6276        
7.733097658    15706.7686        
7.727122199    16280.8987        
7.721155967    16186.0511        
7.715198942    15000.1056        
7.709251101    15055.2717        
7.703312424    17188.6757        
7.69738289     16145.3885        
7.691462477    17226.8425        
7.685551164    16764.8416        
7.67964893     16704.2885        
7.673755755    17221.5096        
7.667871618    16306.7285        
7.661996497    15229.3464        
7.656130373    15702.5365        
7.650273224    16310.0136        
7.64442503     15535.0276        
7.63858577     18446.2365        
7.632755425    16431.9144        
7.626933973    16468.428         
7.621121394    14747.4965        
7.615317668    15568.5667        
7.609522774    16834.7576        
7.603736693    14876.8429        
7.597959405    15002.3048        
7.592190889    14815.1694        
7.586431126    16393.0385        
7.580680095    15458.606         
7.574937777    16069.5861        
7.569204152    15004.0607        
7.5634792      18275.5576        
7.557762902    15748.3418        
7.552055238    15881.6747        
7.546356188    15837.5106        
7.540665733    15877.2804        
7.534983854    15847.681         
7.52931053     16164.0283        
7.523645744    16821.9604        
7.517989475    16161.2391        
7.512341704    18583.9768        
7.506702413    16735.2656        
7.501071582    16526.2795        
7.495449192    16330.2579        
7.489835224    16642.6979        
7.484229659    18602.881         
7.478632479    14688.036         
7.473043664    14670.134         
7.467463196    14576.7234        
7.461891056    14573.5346        
7.456327226    16943.0408        
7.450771687    17197.5914        
7.44522442     18811.3769        
7.439685408    15574.9153        
7.43415463     16063.9958        
7.42863207     15943.7296        
7.423117709    16195.6507        
7.417611529    18398.1386        
7.412113511    16027.4058        
7.406623638    17450.4042        
7.40114189     16173.2956        
7.395668251    16184.824         
7.390202703    16626.3463        
7.384745226    17410.6236        
7.379295804    15649.3249        
7.373854419    16279.1338        
7.368421053    16954.9626        
7.362995687    15494.5479        
7.357578306    16323.6619        
7.35216889     18618.7546        
7.346767422    14477.6179        
7.341373886    16065.5514        
7.335988262    14538.5289        
7.330610535    16727.366         
7.325240686    17085.4385        
7.319878699    17688.3773        
7.314524556    18118.2974        
7.30917824     16020.085         
7.303839733    16864.9533        
7.298509019    16067.4135        
7.29318608     15745.9209        
7.287870901    15974.4663        
7.282563462    18504.7801        
7.277263749    15218.9808        
7.271971743    16117.9623        
7.266687429    18637.9331        
7.261410788    16943.9447        
7.256141806    15225.6788        
7.250880464    15768.9143        
7.245626747    16762.5449        
7.240380637    17285.6052        
7.235142119    16032.1102        
7.229911175    16343.966         
7.22468779     16301.6965        
7.219471947    17274.6284        
7.21426363     15878.1751        
7.209062822    14587.113         
7.203869507    16084.1467        
7.198683669    17110.5835        
7.193505292    17367.8581        
7.18833436     16132.5156        
7.183170857    19941.6508        
7.178014766    17367.3001        
7.172866072    14608.7591        
7.167724759    18077.0375        
7.162590811    16039.1706        
7.157464213    16575.4533        
7.152344947    15351.3125        
7.147233       15559.7265        
7.142128354    16562.2256        
7.137030995    16472.1855        
7.131940907    16840.1699        
7.126858074    16977.1943        
7.12178248     16438.6023        
7.116714111    15662.4732        
7.111652951    16876.2081        
7.106598985    16491.7042        
7.101552196    16261.3966        
7.096512571    17439.1462        
7.091480093    16186.4468        
7.086454748    16114.5823        
7.08143652     16785.0136        
7.076425394    17490.2753        
7.071421356    16982.9986        
7.066424389    17883.9722        
7.06143448     15917.0059        
7.056451613    15237.8839        
7.051475773    16805.6477        
7.046506946    14475.4206        
7.041545116    17699.8043        
7.036590269    16520.2257        
7.031642391    17514.6367        
7.026701466    16885.6737        
7.021767479    15416.6083        
7.016840417    17503.2935        
7.011920264    16209.9806        
7.007007007    17444.5219        
7.00210063     16509.8425        
6.99720112     17038.5452        
6.992308461    16362.501         
